Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
冫,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Băng,
力,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lực,Ka
勹,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bao Bọc,
匕,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thìa,Hi
又,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bàn,
口,bushu,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Miệng,
工,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Công Trình,E
月,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mặt Trăng,
木,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cây,
气,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Khí,Hơi Nước
水,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nước,
火,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lửa,
父,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bố,
牛,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bò,
田,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ruộng,
白,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trắng,
目,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mắt,
車,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Xe,
𠂉,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bạt Che,
亅,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ống Hút,
刀,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kiếm,"Đao, Katana"
夕,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buổi Tối,Ta
宀,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mái,
⺌,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cỏ,
干,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Khô,
心,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tim,
手,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tay,
文,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Văn,
方,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Phương Hướng,
毋,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mẹ,
立,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đứng,
米,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gạo,
艹,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cỏ,
長,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dài,
雨,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mưa,
ネ,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nem,Ne
ム,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riêng Tư,Mu
丷,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chấm,Giọt
乍,bushu,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chìa Khóa,
也,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rồng,
冋,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mặt,
刂,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dao,
夂,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đông,
寸,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thước Đo,Đo
幺,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mạng Nhện,
广,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mái,
弓,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cung,
彳,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cây,
斤,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rìu,
用,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tủ,Dùng
穴,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lỗ,
耂,bushu,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quan Tài,
肉,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thịt,
色,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Màu,
言,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nói,
⻌,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Xe Trượt,Scooter
𠆢,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mũ,
ホ,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hồn,Ho
乚,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Móc,
冖,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mũ,
几,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bàn,
士,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sĩ Quan,
弋,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Diều,
歹,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chết,
氵,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nước,
矢,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mũi Tên,
耳,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tai,
聿,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bút Lông,Bút
虫,bushu,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Côn Trùng,
行,bushu,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đi,
門,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cổng,
L,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ống Hút,
マ,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mama,Ma
ヨ,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yoyo,Yo
凵,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hộp,
匚,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hộp,
尸,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cờ,
廾,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thân Cây,
彡,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lông,Ba
灬,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lửa,
禾,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lúa,
里,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Làng,
𡗗,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Xuân,
丙,bushu,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thuốc Nổ,
介,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chỉ Đường,Giới Thiệu
卩,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cờ,
己,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bản Thân,
巾,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Khăn,
戸,bushu,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cửa,
扌,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tay,
勿,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cánh,
毛,bushu,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lông,
疒,bushu,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bệnh,
癶,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lều,
竹,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tre,
糸,bushu,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sợi Chỉ,
罒,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Túi,
羊,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cừu,
貝,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vỏ,"Sò, Ngao, Hến, Trai, Động Vật Có Vỏ"
阝,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cờ,
首,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cổ,
魚,bushu,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cá,
ユ,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Móc,Yu
且,bushu,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mũ,
云,bushu,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mây,
免,bushu,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Miễn,
厂,bushu,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vách Đá,Vách
斗,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Muôi,
殳,bushu,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vũ Khí,
氏,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Họ,
羽,bushu,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lông,
隹,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lược,
馬,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ngựa,
鳥,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chim,
𠃌,bushu,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bao Bọc,
业,bushu,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gai,
⺤,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cỏ,
舟,bushu,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thuyền,
𦰩,bushu,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thuốc Lá,
戈,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Diều,
皿,bushu,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đĩa,
艮,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tốt,
酉,bushu,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rượu,
㠯,bushu,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Béo,
咅,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mũi,
廴,bushu,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Xe Trượt,Scooter
覀,bushu,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Túi,
辛,bushu,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cay,
面,bushu,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mặt,
其,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thang,
豆,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đậu,
頁,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trang Giấy,
忄,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tim,
比,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,So Sánh,
犭,bushu,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thú,Động Vật
飛,bushu,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bay,
丩,bushu,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cành Cây,
衣,bushu,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quần Áo,
辰,bushu,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Che Chắn,
矛,bushu,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cây Giáo,
象,bushu,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Voi,Tượng
冊,bushu,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sách,
冓,bushu,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sống Lại,Tái Sinh
至,bushu,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dẫn Đến,
片,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Một Bên,
巛,bushu,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sông,
𭕄,bushu,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cỏ,
臣,bushu,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Camera,
韋,bushu,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vĩ Đại,
爪,bushu,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Móng,
虍,bushu,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hổ,
豕,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lợn,
乃,bushu,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cầu Thang,
乙,bushu,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mũi To,
牙,bushu,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Răng Nanh,
舛,bushu,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Múa,
㐮,bushu,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cô Nương,
凸,bushu,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lồi,
凹,bushu,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lõm,
袁,bushu,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Khỉ,
睘,bushu,41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hàng Hiệu,
𧘇,bushu,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quần Áo,
复,bushu,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đói,
戊,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Diều,
㑒,bushu,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nông Dân,
坴,bushu,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đất,
斉,bushu,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đồng Loạt,
兼,bushu,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đồng Thời,
亥,bushu,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Đau,
而,bushu,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Xẻng,
关,bushu,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hoa,
敬,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tôn Kính,
开,bushu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thân Cây,
示,bushu,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chỉ Thị,Chỉ Ra
犬,bushu,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chó,
々,kanji,2,"丿,マ",,,のま,,のま,のま,Lặp Lại,Noma
一,kanji,1,一,,"いち, いつ",ひと,,いち,"いち, いつ, ひと",Một,Nhất
丁,kanji,5,"一,亅",,"ちょう, てい",,,ちょう,"ちょう, てい",Khu,Phố
七,kanji,1,七,,しち,"なな, なの",,しち,"しち, なな, なの",Bảy,Thất
万,kanji,3,"一,勹",方,"まん, ばん",,,まん,"まん, ばん",Vạn,Mười Nghìn
丈,kanji,13,"ナ,丶",才,じょう,たけ,,じょう,"じょう, たけ",Bền,Chiều Dài
三,kanji,1,"一,二",,さん,み,,さん,"さん, み",Ba,Tam
上,kanji,2,"ト,一","場,常",じょう,"うえ, あ, のぼ, うわ, かみ",,じょう,"じょう, うえ, あ, のぼ, うわ, かみ",Trên,Thượng
下,kanji,2,"一,ト",夏,"か, げ","した, さ, くだ, お, しも, もと",,か,"か, げ, した, さ, くだ, お, しも, もと",Dưới,Hạ
不,kanji,6,"丆,丨,丶",,"ふ, ぶ",,,ふ,"ふ, ぶ",Không,Bất
与,kanji,26,"𠂉,𠃌,一",,よ,あた,,よ,"よ, あた",Cho,
世,kanji,10,"一,丨","制,勢,誓","せい, せ",よ,,せい,"せい, せ, よ",Thế Giới,Thế
丘,kanji,34,"斤,一",岡,,おか,,おか,おか,Đồi,
両,kanji,20,"一,山,冂",画,りょう,,,りょう,りょう,Cả Hai,Hai Bên
並,kanji,34,"丷,一,业",,へい,"なら, なみ",,へい,"へい, なら, なみ",Xếp Hàng,
中,kanji,1,中,,ちゅう,なか,,ちゅう,"ちゅう, なか",Trong,"Trung, Giữa"
串,kanji,16,"丨,口",,,くし,,くし,くし,Xiên,
丸,kanji,3,"九,丶",,がん,まる,,まる,"まる, がん",Tròn,
主,kanji,4,"王,丶",,しゅ,"おも, ぬし",,しゅ,"しゅ, おも, ぬし",Chủ,
丼,kanji,34,"井,丶",,,"どんぶり, どん",,どんぶり,"どんぶり, どん",Donburi,Don
久,kanji,28,"丿,入",九,きゅう,ひさ,,きゅう,"きゅう, ひさ",Lâu Rồi,Cửu
乏,kanji,33,"丆,マ,𠆢",,ぼう,とぼ,,ぼう,"ぼう, とぼ",Thiếu,Nghèo Nàn
乗,kanji,27,"禾,田",垂,じょう,の,,の,"の, じょう",Ngồi Lên,"Lên, Cưỡi"
乙,kanji,10,乙,,おつ,おと,,おと,"おと, おつ",Mũi To,
九,kanji,1,九,久,"く, きゅう",ここの,,く,"く, きゅう, ここの",Chín,Cửu
乱,kanji,39,"舌,乚",,らん,みだ,,らん,"らん, みだ",Xáo Trộn,Loạn
乳,kanji,39,"⺤,子,乚",,にゅう,"ちち, ち",,にゅう,"にゅう, ちち, ち",Sữa,Vú
乾,kanji,18,"十,早,𠂉,乙",干,かん,かわ,,かん,"かん, かわ",Khô,Can
亀,kanji,4,"𠂉,田,L",,,かめ,,かめ,かめ,Rùa,Quy
了,kanji,7,"一,丿,亅",,りょう,,,りょう,りょう,Hoàn Tất,
予,kanji,10,"マ,丁","矛,余,誉",よ,あらかじ,,よ,"よ, あらかじ",Trước,Dự
争,kanji,20,"勹,ヨ,亅",装,そう,あらそ,,そう,"そう, あらそ",Tranh,
事,kanji,10,"十,口,ヨ",,じ,こと,,じ,"じ, こと",Việc,Sự
二,kanji,1,二,,に,ふた,,に,"に, ふた",Hai,"Nhị, Nhì"
互,kanji,26,"二,口",,ご,たが,,ご,"ご, たが",Cùng Nhau,Lẫn Nhau
五,kanji,2,五,,ご,いつ,,ご,"ご, いつ",Năm,Ngũ
井,kanji,5,"丿,丨,二",,しょう,い,,い,"い, しょう",Giếng,
亡,kanji,8,"亠,L",,ぼう,な,,ぼう,"ぼう, な",Chết,Vong
交,kanji,7,"亠,父",,こう,"まじ, ま",,こう,"こう, まじ, ま",Trộn,Giao
享,kanji,50,"亠,口,子","響,郷",きょう,う,,きょう,"きょう, う",Hưởng,
京,kanji,10,"亠,口,小",,きょう,,,きょう,きょう,Thủ Đô,Kinh
人,kanji,1,人,入,"にん, じん",ひと,,にん,"にん, じん, ひと",Người,Nhân
今,kanji,3,今,,こん,いま,,こん,"こん, いま",Bây Giờ,
介,kanji,28,介,,かい,,,かい,かい,Giới Thiệu,Giới
仏,kanji,28,"⺅,ム",,ぶつ,ほとけ,,ぶつ,"ぶつ, ほとけ",Phật,
仕,kanji,15,"⺅,士",,し,,,し,し,Làm,
他,kanji,20,"⺅,也",池,た,ほか,,た,"た, ほか",Khác,Tha
付,kanji,8,"⺅,寸",,ふ,つ,,つ,"つ, ふ",Gắn,
仙,kanji,4,"⺅,山",,せん,,,せん,せん,Sendai,Sen
代,kanji,8,"⺅,弋",台,"だい, たい","か, かわ",,だい,"だい, たい, か, かわ",Thay Thế,Đại
令,kanji,19,"𠆢,一,卩",命,れい,,,れい,れい,Lệnh,
以,kanji,15,"L,丶,人",,い,,,い,い,Khoảng,
仮,kanji,12,"⺅,反",,か,かり,,か,"か, かり",Giả Sử,Giả
仰,kanji,30,"⺅,匚,卩",抑,こう,"あお, おっしゃ",,こう,"こう, あお, おっしゃ",Tín Ngưỡng,Ngưỡng
仲,kanji,17,"⺅,中",,ちゅう,なか,,なか,"なか, ちゅう",Quan Hệ,
件,kanji,23,"⺅,牛","見,建",けん,,,けん,けん,Sự Kiện,Kiện
任,kanji,22,"⺅,王",妊,にん,まか,,にん,"にん, まか",Trách Nhiệm,Nhiệm
企,kanji,15,"𠆢,止",,き,"くわだ, たくら",,き,"き, くわだ, たくら",Kế Hoạch,"Toan Tính, Âm Mưu"
伎,kanji,37,"⺅,支",技,き,,,き,き,Kabuki,Ki
伏,kanji,30,"⺅,犬","服,復,福",ふく,ふ,,ふく,"ふく, ふ",Nằm Xuống,Phục
休,kanji,4,"⺅,木",体,きゅう,やす,,きゅう,"きゅう, やす",Nghỉ,
会,kanji,7,"𠆢,二,ム","合,回,悔",かい,あ,,かい,"かい, あ",Gặp,Hội
伝,kanji,22,"⺅,云",,でん,つた,,でん,"でん, つた",Truyền,
伯,kanji,43,"⺅,白",,お,,,お,お,Bác,
伴,kanji,31,"⺅,半",,はん,ともな,,はん,"はん, ともな",Đi Cùng,Hành
伸,kanji,27,"⺅,申",,しん,の,,の,"の, しん",Dài Ra,
伺,kanji,41,"⺅,司",,,うかが,,うかが,うかが,Thăm,Hỏi
似,kanji,36,"⺅,以",,,に,,に,に,Giống,
位,kanji,27,"⺅,立","囲,為,偉",い,,,い,い,Hạng,Vị
低,kanji,39,"⺅,氏,一","抵,底",てい,ひく,,てい,"てい, ひく",Thấp,
住,kanji,15,"⺅,主","獣,注",じゅう,す,,じゅう,"じゅう, す",Sống Ở,Trú
体,kanji,8,"⺅,本",休,たい,からだ,,たい,"たい, からだ",Cơ Thể,Thể
何,kanji,9,"⺅,口,丁",,,"なに, なん",,なに,"なに, なん",Cái Gì,
余,kanji,19,"𠆢,示","予,誉",よ,あま,,よ,"よ, あま",Thừa,Dư
作,kanji,11,"⺅,乍","酢,昨","さく, さ",つく,,さく,"さく, さ, つく",Tạo,"Tác, Làm"
使,kanji,11,"⺅,ナ,口,一",,し,つか,,し,"し, つか",Dùng,"Sử, Sử Dụng"
例,kanji,43,"⺅,列","礼,隷,励",れい,たと,,れい,"れい, たと",Ví Dụ,Lệ
侍,kanji,50,"⺅,寺","寺,時,持,詩",,さむらい,,さむらい,さむらい,Samurai,
供,kanji,26,"⺅,共",,きょう,"とも, そな",,きょう,"きょう, とも, そな",Cung Cấp,Cung
依,kanji,48,"⺅,衣",,い,よ,,い,"い, よ",Phụ Thuộc,Nhờ Vả
価,kanji,32,"⺅,覀",,か,あたい,,か,"か, あたい",Giá Trị,Giá
侵,kanji,53,"⺅,ヨ,冖,又","浸,寝",しん,おか,,しん,"しん, おか",Xâm Phạm,Xâm
侶,kanji,54,"⺅,呂",旅,りょ,,,りょ,りょ,Tăng Lữ,Lữ
便,kanji,18,"⺅,一,田,メ",,"べん, びん",たよ,,べん,"べん, びん, たよ",Tiện,
係,kanji,21,"⺅,一,糸",系,けい,かかり,,けい,"けい, かかり",Quan Hệ,Hệ
促,kanji,52,"⺅,足",,そく,うなが,,そく,"そく, うなが",Giục,Thúc Đẩy
俗,kanji,53,"⺅,谷","浴,族,続,賊,属",ぞく,,,ぞく,ぞく,Dân Gian,Tục
保,kanji,27,"⺅,口,木",,ほ,たも,,ほ,"ほ, たも",Duy Trì,Bảo
信,kanji,21,"⺅,言",,しん,,,しん,しん,Tin,Tín
修,kanji,30,"⺅,丨,夂,彡",,しゅう,,,しゅう,しゅう,Sửa,
俳,kanji,56,"⺅,非","拝,排",はい,,,はい,はい,Haiku,Hai
俵,kanji,56,"⺅,表",,ひょう,たわら,,ひょう,"ひょう, たわら",Bao,
俺,kanji,18,"⺅,大,田,乚",,,おれ,,おれ,おれ,Tôi,
倉,kanji,21,"𠆢,戸,一,口","蔵,庫",そう,くら,,そう,"そう, くら",Kho,
個,kanji,55,"⺅,固",,こ,,,こ,こ,Cá Nhân,Cá
倍,kanji,44,"⺅,咅","培,賠",ばい,,,ばい,ばい,Gấp,Bội
倒,kanji,28,"⺅,至,刂","到,刀,逃,島,盗",とう,たお,,とう,"とう, たお",Sụp Đổ,Đảo
候,kanji,30,"⺅,丨,ユ,矢",喉,こう,,,こう,こう,Khí Hậu,Hậu
借,kanji,18,"⺅,昔",釈,しゃく,か,,しゃく,"しゃく, か",Mượn,"Thuê, Vay"
