Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
身分証明書,vocab,29,"身,分,証,明,書",N/A,N/A,N/A,N/A,みぶんしょうめいしょ,みぶんしょうめいしょ,Giấy Tờ Tùy Thân,
規定,vocab,13,"規,定",N/A,N/A,N/A,N/A,きてい,きてい,Quy Định,
心拍,vocab,29,"心,拍",N/A,N/A,N/A,N/A,しんぱく,しんぱく,Nhịp Tim,
手術,vocab,39,"手,術",N/A,N/A,N/A,N/A,しゅじゅつ,しゅじゅつ,Phẫu Thuật,
収録,vocab,40,"収,録",N/A,N/A,N/A,N/A,しゅうろく,しゅうろく,Shuuroku,
満喫,vocab,34,"満,喫",N/A,N/A,N/A,N/A,まんきつ,まんきつ,Tận Hưởng,
即答,vocab,23,"即,答",N/A,N/A,N/A,N/A,そくとう,そくとう,Sokutou,
観覧車,vocab,40,"観,覧,車",N/A,N/A,N/A,N/A,かんらんしゃ,かんらんしゃ,Kanransha,
人質,vocab,21,"人,質",N/A,N/A,N/A,N/A,ひとじち,ひとじち,Con Tin,
偽札,vocab,34,"偽,札",N/A,N/A,N/A,N/A,にせさつ,にせさつ,Tiền Giả,
冒険家,vocab,52,"冒,険,家",N/A,N/A,N/A,N/A,ぼうけんか,ぼうけんか,Boukenka,
秋葉原,vocab,14,"秋,葉,原",N/A,N/A,N/A,N/A,あきはばら,あきはばら,Akihabara,
時々,vocab,9,"時,々",N/A,N/A,N/A,N/A,ときどき,ときどき,Thỉnh Thoảng,Tokidoki
厳重,vocab,70,"厳,重",N/A,N/A,N/A,N/A,げんじゅう,げんじゅう,Nghiêm Ngặt,
気絶,vocab,29,"気,絶",N/A,N/A,N/A,N/A,きぜつ,きぜつ,Bất Tỉnh,
歓声,vocab,39,"歓,声",N/A,N/A,N/A,N/A,かんせい,かんせい,Hoan Hô,
主人公,vocab,5,"主,人,公",N/A,N/A,N/A,N/A,しゅじんこう,しゅじんこう,Nhân Vật Chính,Shujinkou
団子,vocab,12,"団,子",N/A,N/A,N/A,N/A,だんご,だんご,Dango,
率直,vocab,45,"率,直",N/A,N/A,N/A,N/A,そっちょく,そっちょく,Thẳng Thắn,
白身,vocab,9,"白,身",N/A,N/A,N/A,N/A,しろみ,しろみ,Lòng Trắng,
冷や汗,vocab,20,"冷,汗",N/A,N/A,N/A,N/A,ひやあせ,ひやあせ,Hiyaase,
用紙,vocab,17,"用,紙",N/A,N/A,N/A,N/A,ようし,ようし,Youshi,
和牛,vocab,5,"和,牛",N/A,N/A,N/A,N/A,わぎゅう,わぎゅう,Wagyuu,
死神,vocab,9,"死,神",N/A,N/A,N/A,N/A,しにがみ,しにがみ,Shinigami,
日産,vocab,26,"日,産",N/A,N/A,N/A,N/A,にっさん,にっさん,Nissan,
お袋,vocab,60,袋,N/A,N/A,N/A,N/A,おふくろ,おふくろ,Mẹ,Ofukuro
神棚,vocab,64,"神,棚",N/A,N/A,N/A,N/A,かみだな,かみだな,Bàn Thờ,Kamidana
お化け屋敷,vocab,69,"化,屋,敷",N/A,N/A,N/A,N/A,おばけやしき,おばけやしき,Nhà Ma,
